country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,92,100,114,136,139,60.3,58.3,56.3,58.6,60.7,58.6,60.3,63.3,52.2,60.6,58.5,56.8,55.2,53.6,53.2,54.5,53.5,52,50.7,49.3,51.1,69.3,73.3,71.9,75.3,82.6,86,95.9,87.5,109,145,133,172,189,206,207,219,280,312,,,,,
Albania,,,,,,,,,,,,532,568,593,591,739,909,1070,1100,1070,1140,1120,1100,1070,1020,796,1420,1160,1010,1020,552,418,454,536,596,664,904,695,735,1410,1450,1350,1580,1470,1800,1720,1220,1210,1620,1840,1940,2210,2120,2530,2310,,,,,
United Arab Emirates,,,,,,,,,,,,681,1310,1700,1880,2320,2830,3740,4190,4980,5750,6120,7120,7680,7910,8170,8240,8280,8480,8230,8500,8150,8280,9100,9410,9400,9510,9930,11.2k,12.2k,12.3k,12.1k,12.5k,12.4k,12k,12.3k,11.7k,11.5k,11.3k,10.6k,10.6k,10.3k,10.4k,10.7k,11.1k,,,,,
Argentina,,,,,,,,,,,,874,925,962,993,1010,1030,1080,1090,1220,1240,1200,1210,1260,1300,1290,1330,1410,1450,1320,1300,1350,1410,1500,1580,1650,1730,1850,1970,2030,2090,2120,2010,2180,2290,2410,2370,2460,2770,2730,2880,2930,3000,2970,3070,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,2690,1960,1200,1050,1050,1220,1510,1310,1310,1300,1270,1240,1320,1440,1520,1640,1770,1670,1660,1730,1810,1890,1930,1960,,,,,
Australia,1830,1950,2010,2210,2420,2630,2770,2970,3100,3330,3610,3750,3880,4230,4580,4780,4900,5250,5420,5670,5920,6150,6390,6370,6700,7010,7310,7530,7800,8130,8530,8520,8550,8700,8810,8990,9110,9290,9780,10k,10.2k,10.6k,10.8k,10.4k,10.6k,10.5k,10.5k,11k,10.7k,10.8k,10.7k,10.6k,10.4k,10.2k,10.1k,,,,,
Austria,1810,1880,2010,2120,2230,2310,2380,2450,2610,2810,3020,3210,3400,3620,3770,3730,4070,4140,4340,4540,4680,4700,4730,4830,5070,5280,5320,5540,5720,5900,6110,6350,6230,6140,6210,6340,6610,6620,6710,6970,7080,7330,7430,7700,7810,7980,8240,8210,8230,7940,8380,8430,8550,8510,8360,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,2630,2280,2120,1960,1950,1850,1810,1940,2020,2040,2110,2000,2240,2280,2390,2550,2120,2040,1620,1600,1710,2050,2090,2200,,,,,
Belgium,1580,1630,1750,1880,2060,2160,2260,2360,2600,2830,3030,3220,3610,3940,4130,3890,4250,4400,4620,4910,4890,4910,4900,5040,5290,5500,5620,5880,6060,6210,6380,6660,6850,6880,7180,7380,7530,7700,7910,7940,8250,8270,8310,8410,8580,8510,8680,8610,8520,7900,8390,8030,7990,7990,7710,,,,,
Benin,,,,,,,,,,,,10.8,11.8,18.6,16.9,18.1,19.4,21.3,46.3,24.9,27.7,31.9,17.6,36.6,32.5,33.4,31.1,30.9,36.2,33.8,35,36.7,38.8,39.1,39.4,41.8,44.5,47.9,44.8,51.9,58.1,61.5,68.3,64.6,70.3,73.8,75.1,79.7,86.4,87.9,95.4,91.5,93.1,96.8,100,,,,,
Bangladesh,,,,,,,,,,,,10.8,10.7,15.4,17.1,17.3,17.6,18.6,21.9,21.4,19.1,22.8,25.8,29.5,32.4,33.5,37.9,39.4,42.5,50.6,49.8,50.4,60.4,67.2,71.1,78.2,81.9,83.7,88.8,97.2,105,115,123,129,165,176,197,206,208,226,247,266,283,302,320,,,,,
Bulgaria,,,,,,,,,,,,2290,2490,2680,2840,3040,3250,3440,3650,3770,3970,4130,4400,4580,4770,4680,4650,4840,4940,4960,4760,4360,3740,3810,3830,4210,4350,3970,3930,3610,3670,3860,3850,4000,3970,4170,4370,4520,4670,4480,4560,4860,4760,4640,4710,,,,,
Bahrain,,,,,,,,,,,,1950,1960,2090,2280,2630,3170,3660,3750,4300,4610,4850,5210,5590,15.3k,15.9k,16.5k,14.7k,15.4k,15.4k,15.6k,14.2k,18.5k,21.6k,20.5k,20.6k,20.6k,21.1k,21.3k,20.6k,20k,20.1k,20k,19.8k,19k,21.3k,21.5k,20.6k,18.5k,17.5k,18k,17.9k,17.8k,18.7k,19.6k,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,2110,1110,708,894,959,1130,1380,1770,1830,2030,2070,2090,2230,2320,2390,2380,2380,2990,2890,3160,3340,3480,3470,3450,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,4430,3910,3450,3070,2790,2810,2950,3020,3010,3000,3010,3000,3060,3170,3250,3370,3390,3480,3300,3560,3630,3700,3650,3680,,,,,
Bolivia,,,,,,,,,,,,166,174,174,182,190,200,216,228,237,253,266,265,254,253,245,235,234,246,258,266,281,290,313,333,352,370,388,405,418,416,417,430,437,447,477,507,539,528,547,597,629,654,696,743,,,,,
Brazil,,,,,,,,,,,,460,499,555,605,651,722,790,860,942,1020,1020,1060,1110,1210,1280,1350,1370,1420,1450,1460,1490,1490,1540,1570,1630,1690,1760,1810,1830,1900,1750,1810,1880,1960,2020,2070,2170,2230,2200,2370,2430,2500,2570,2620,,,,,
Brunei,,,,,,,,,,,,1750,1680,1580,1540,1480,1420,1370,1320,1270,1690,2260,2640,3080,3290,3270,3220,4190,4280,4300,4330,4470,4820,5270,5580,6380,6830,7620,7760,7380,7550,7180,7370,8550,8600,8460,8430,8610,8590,8840,8810,8780,9240,9870,10.3k,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,587,627,625,641,664,753,847,719,730,769,853,926,922,963,936,962,1030,1100,1070,1160,1230,1270,1360,1480,1460,1490,1540,1540,1740,1560,1500,1760,2130,1820,,,,,
Canada,5630,5610,5790,5970,6470,6910,7360,7630,8030,8530,8960,9170,9800,10.2k,10.8k,10.5k,11.1k,11.8k,12.3k,12.4k,12.8k,13.2k,13k,13.5k,14.3k,14.9k,15.4k,15.8k,16.4k,16.5k,16.2k,16.2k,16.2k,16.3k,16.4k,16.5k,16.6k,16.7k,16.4k,16.7k,17k,16.8k,17k,17.2k,17.3k,16.9k,16.5k,16.7k,16.4k,15.5k,15.3k,15.6k,15.3k,15.8k,15.6k,,,,,
Switzerland,3080,3230,3280,3350,3450,3590,3650,3750,3850,4020,4310,4620,4780,5010,5030,4880,5080,5320,5520,5780,5990,6120,6190,6330,6600,6850,6990,7160,7200,7370,7450,7540,7430,7240,7160,7280,7390,7340,7480,7650,7850,7990,8030,8200,8210,8310,8360,8160,8310,8020,8170,7930,7890,7810,7520,,,,,
