country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.0271,0.0299,0.0309,0.0317,0.0531,0.022,0.0484,0.0346,0.077,0.0497,0.151,0.192,0.214,0.185,0.197,0.224,0.25,0.252
Argentina,0.0328,0.0267,0.0295,0.0283,0.0333,0.0422,0.0364,0.0302,0.0326,0.0399,0.0383,0.0381,0.0355,0.0426,0.0391,0.0343,0.032,0.0319,0.0284,0.0208,0.0302,0.0339,0.0371,0.0374,0.0399,0.0323,0.0281,0.0312,0.0204,0.0177,0.0183,0.019,0.0148,0.0196,0.0233,0.0175,0.0142,0.0105,0.0126,0.0213,0.0242,0.0217,0.0311,0.0376,0.0204,0.0283,0.0304,0.0282,0.0304,0.0321,0.0316,0.0241,0.0245,0.0266,0.0122
Australia,1.54,1.55,1.56,1.56,1.57,1.56,1.53,1.58,1.62,1.67,1.7,1.74,1.79,1.82,1.88,1.91,1.94,1.93,1.9,1.98,2.02,2.04,2.09,2.16,2.23,2.25,2.27,2.25,2.24,2.26,2.31,2.38,2.48,2.56,2.69,2.68,2.62,2.65,2.7,2.78,2.72,2.75,2.67,2.73,2.59,2.36,2.26,2.08,1.95,1.9,1.94,1.91,1.82,1.77,1.69
Austria,0.696,0.66,0.621,0.61,0.597,0.639,0.583,0.527,0.522,0.549,0.477,0.507,0.426,0.433,0.471,0.484,0.496,0.472,0.505,0.575,0.574,0.511,0.506,0.483,0.484,0.53,0.553,0.427,0.381,0.384,0.434,0.434,0.46,0.405,0.401,0.453,0.466,0.471,0.5,0.487,0.484,0.482,0.464,0.457,0.343,0.401,0.41,0.379,0.383,0.348,0.374,0.344,0.353,0.321,0.336
Azerbaijan,,,,,,,,,,,,,,,,,,,,,0.0138,0.0136,0.0134,0.0131,0.0129,0.0123,0.00911,0.00161,0.0004,0.00052,0.00039,0.00038,0.00038,0,0,0,0.00037,0.00024,0.00036,0.00011,0.00038,0.00037,0.00057,0.00042,0.00041,0.00061,0.00054,0.0004,0.00033,0.00019,0.00032,0.00013,0.00013,0.00012,0.00012
Belgium,2.03,1.84,1.8,1.85,1.8,1.69,1.39,1.33,1.11,1.18,0.882,0.917,0.928,0.949,1.06,1.06,1.1,1.1,0.938,1.09,1.08,0.922,0.917,0.925,0.97,1.06,1.01,0.903,0.852,0.912,0.869,0.83,0.773,0.768,0.672,0.742,0.704,0.601,0.578,0.535,0.488,0.478,0.434,0.425,0.272,0.343,0.32,0.3,0.316,0.299,0.299,0.282,0.275,0.271,0.264
Bangladesh,0,0,0,0,0,0,0,0.0014,0.0018,0.00157,0.00178,0.00172,0.00176,0.00166,0.0012,0.00156,0.00156,0.00184,0.00102,0.0004,0.00054,0.00079,0.00122,0.00122,0.00124,0.00273,0.00085,0.00078,0.00029,0.00026,0.00279,0.0015,0.00269,0.00076,0.00037,0.00258,0.00269,0.00276,0.00259,0.00255,0.00516,0.00774,0.00624,0.00649,0.00802,0.00505,0.00744,0.00607,0.0083,0.00518,0.0171,0.0125,0.0134,0.0152,0.0211
Bulgaria,0.729,0.746,0.805,0.868,0.867,0.943,0.925,0.948,0.95,0.929,0.97,0.9,0.894,0.95,0.977,1.02,1.03,1.08,1.08,1.08,1.12,1.15,1.16,1.08,1.11,0.934,0.842,0.895,0.975,0.903,0.913,0.919,1.06,1.02,0.845,0.787,0.905,0.84,0.948,0.913,0.901,0.921,1.04,1,0.849,0.927,1.1,0.943,0.815,0.876,0.91,0.796,0.86,0.774,0.712
Belarus,,,,,,,,,,,,,,,,,,,,,0.218,0.237,0.229,0.244,0.239,0.209,0.199,0.166,0.142,0.1,0.0945,0.115,0.122,0.108,0.101,0.101,0.0728,0.0692,0.0655,0.0646,0.0718,0.0645,0.0733,0.0685,0.0654,0.0685,0.0824,0.084,0.0891,0.0883,0.0785,0.0862,0.0891,0.0935,0.0998
Brazil,0.0208,0.0219,0.0221,0.0211,0.023,0.0256,0.0252,0.0259,0.0248,0.0257,0.0299,0.0311,0.0385,0.0433,0.0459,0.0489,0.0467,0.0483,0.053,0.064,0.0741,0.0735,0.0754,0.0756,0.0736,0.0644,0.0726,0.0692,0.0701,0.0708,0.0731,0.0742,0.0735,0.0709,0.0708,0.0744,0.0722,0.069,0.0707,0.0732,0.0698,0.0681,0.0714,0.0717,0.0573,0.0739,0.0782,0.0767,0.082,0.0864,0.0862,0.0772,0.0808,0.0794,0.0742
Canada,0.788,0.76,0.74,0.79,0.75,0.792,0.741,0.688,0.698,0.699,0.67,0.784,0.989,0.804,0.754,0.908,0.918,0.96,0.994,1.1,1.04,0.953,1.01,1.07,1.05,0.985,0.942,0.948,0.832,0.873,0.903,0.913,0.945,1,0.954,1,1.03,1.03,1.01,0.943,0.934,0.896,0.92,0.882,0.696,0.725,0.642,0.604,0.588,0.55,0.552,0.513,0.507,0.419,0.357
Switzerland,0.219,0.179,0.149,0.139,0.125,0.106,0.071,0.0596,0.0563,0.0483,0.0361,0.0339,0.0397,0.0358,0.0371,0.0544,0.0802,0.0707,0.0614,0.0783,0.0782,0.0669,0.0619,0.0525,0.0539,0.0535,0.045,0.0308,0.0255,0.0256,0.0272,0.0202,0.0155,0.0128,0.0133,0.0193,0.0201,0.0184,0.0188,0.0177,0.0195,0.0209,0.0231,0.0205,0.0192,0.019,0.0173,0.0154,0.0164,0.0166,0.015,0.0137,0.013,0.012,0.0119
Chile,0.13,0.131,0.129,0.127,0.125,0.131,0.125,0.101,0.108,0.101,0.0795,0.079,0.0838,0.0804,0.0877,0.0954,0.0939,0.0617,0.073,0.097,0.0957,0.0895,0.0908,0.125,0.166,0.196,0.159,0.135,0.134,0.155,0.165,0.225,0.29,0.269,0.274,0.209,0.162,0.162,0.153,0.176,0.17,0.21,0.247,0.262,0.237,0.263,0.334,0.386,0.43,0.429,0.407,0.407,0.418,0.397,0.359
China,0.158,0.165,0.143,0.138,0.162,0.2,0.225,0.233,0.23,0.223,0.247,0.248,0.269,0.291,0.297,0.304,0.298,0.312,0.329,0.353,0.379,0.389,0.414,0.436,0.449,0.448,0.464,0.48,0.506,0.534,0.536,0.556,0.54,0.532,0.543,0.547,0.572,0.623,0.738,0.855,0.995,1.09,1.18,1.19,1.24,1.28,1.38,1.39,1.41,1.4,1.36,1.34,1.33,1.34,1.36
Colombia,0.108,0.104,0.111,0.0987,0.103,0.104,0.0793,0.0805,0.0802,0.0948,0.0943,0.0902,0.0904,0.0893,0.0881,0.0904,0.0901,0.0918,0.099,0.101,0.102,0.0986,0.122,0.095,0.108,0.0483,0.0595,0.0976,0.1,0.113,0.0991,0.0755,0.0878,0.0822,0.0645,0.0682,0.0661,0.0536,0.0585,0.0505,0.0314,0.0882,0.0767,0.1,0.0913,0.106,0.0852,0.102,0.109,0.114,0.105,0.113,0.0851,0.076,0.122
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0.08,0.167,0.0991,0.0866,0.0796,0.0575,0.104,0.0855,0.115,0.125,0.114,0.0853,0.0154,0.0259,0.0382,0.0552,0.045,0.0443,0.0435,0.0428,0.0289,0.0258,0.0207,0.0108,0.0132,0.00613,0.00021,0.00021,0.00192,0.00287,0.00038,0.00253,0.0115,0.0139
Czech Republic,3.6,3.59,3.47,3.59,3.74,3.78,3.93,3.85,3.75,3.71,3.77,3.82,3.87,3.87,3.85,3.72,3.69,3.72,3.71,3.78,3.7,3.69,3.64,3.69,3.54,2.88,2.63,2.46,2.39,2.26,2.26,2.26,2.13,1.97,1.8,2.06,2.03,1.99,2.03,2.03,1.96,2.02,2,1.89,1.73,1.78,1.75,1.68,1.6,1.55,1.54,1.55,1.47,1.45,1.35
